FIPS,State,Area_name,Unemployment_rate_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
0,US,United States,3.7,"65,712",
1000,AL,Alabama,3,"51,771",100
1001,AL,"Autauga County, AL",2.7,"58,233",112.5
1003,AL,"Baldwin County, AL",2.8,"59,871",115.6
1005,AL,"Barbour County, AL",3.8,"35,972",69.5
1007,AL,"Bibb County, AL",3.1,"47,918",92.6
1009,AL,"Blount County, AL",2.7,"52,902",102.2
1011,AL,"Bullock County, AL",3.7,"31,906",61.6
1013,AL,"Butler County, AL",3.7,"39,944",77.2
1015,AL,"Calhoun County, AL",3.6,"47,747",92.2
1017,AL,"Chambers County, AL",2.9,"42,015",81.2
1019,AL,"Cherokee County, AL",2.9,"45,982",88.8
1021,AL,"Chilton County, AL",2.7,"49,692",96
1023,AL,"Choctaw County, AL",4.7,"39,808",76.9
1025,AL,"Clarke County, AL",5.8,"43,822",84.6
1027,AL,"Clay County, AL",3,"40,562",78.3
1029,AL,"Cleburne County, AL",3.2,"51,276",99
1031,AL,"Coffee County, AL",2.9,"57,299",110.7
1033,AL,"Colbert County, AL",3.8,"46,683",90.2
1035,AL,"Conecuh County, AL",4,"41,539",80.2
1037,AL,"Coosa County, AL",3,"42,024",81.2
1039,AL,"Covington County, AL",3.5,"44,836",86.6
1041,AL,"Crenshaw County, AL",2.8,"43,309",83.7
1043,AL,"Cullman County, AL",2.6,"50,897",98.3
1045,AL,"Dale County, AL",3.2,"45,120",87.2
1047,AL,"Dallas County, AL",5.5,"34,034",65.7
1049,AL,"DeKalb County, AL",2.8,"44,277",85.5
1051,AL,"Elmore County, AL",2.6,"62,310",120.4
1053,AL,"Escambia County, AL",3.5,"42,712",82.5
1055,AL,"Etowah County, AL",3.4,"43,047",83.1
1057,AL,"Fayette County, AL",3.1,"44,212",85.4
1059,AL,"Franklin County, AL",2.8,"44,874",86.7
1061,AL,"Geneva County, AL",3,"43,089",83.2
1063,AL,"Greene County, AL",5.6,"28,699",55.4
1065,AL,"Hale County, AL",4,"40,745",78.7
1067,AL,"Henry County, AL",3.6,"48,597",93.9
1069,AL,"Houston County, AL",3,"50,138",96.8
1071,AL,"Jackson County, AL",3.3,"44,322",85.6
1073,AL,"Jefferson County, AL",2.9,"54,127",104.6
1075,AL,"Lamar County, AL",3.1,"42,686",82.5
1077,AL,"Lauderdale County, AL",3.3,"48,188",93.1
1079,AL,"Lawrence County, AL",3.2,"47,797",92.3
1081,AL,"Lee County, AL",2.8,"54,160",104.6
1083,AL,"Limestone County, AL",2.7,"64,729",125
1085,AL,"Lowndes County, AL",5.8,"33,930",65.5
1087,AL,"Macon County, AL",4.3,"34,281",66.2
1089,AL,"Madison County, AL",2.6,"68,609",132.5
1091,AL,"Marengo County, AL",3.5,"38,838",75
1093,AL,"Marion County, AL",3.5,"44,675",86.3
1095,AL,"Marshall County, AL",2.5,"48,913",94.5
1097,AL,"Mobile County, AL",3.7,"49,492",95.6
1099,AL,"Monroe County, AL",4.8,"40,005",77.3
1101,AL,"Montgomery County, AL",3.1,"52,711",101.8
1103,AL,"Morgan County, AL",2.6,"54,355",105
1105,AL,"Perry County, AL",5.3,"29,572",57.1
1107,AL,"Pickens County, AL",3.5,"40,249",77.7
1109,AL,"Pike County, AL",3.3,"41,271",79.7
1111,AL,"Randolph County, AL",3.1,"42,922",82.9
1113,AL,"Russell County, AL",3,"43,670",84.4
1115,AL,"St. Clair County, AL",2.7,"65,403",126.3
1117,AL,"Shelby County, AL",2.2,"77,801",150.3
1119,AL,"Sumter County, AL",4.6,"29,209",56.4
1121,AL,"Talladega County, AL",3.4,"47,719",92.2
1123,AL,"Tallapoosa County, AL",3,"47,100",91
1125,AL,"Tuscaloosa County, AL",2.7,"52,307",101
1127,AL,"Walker County, AL",3.3,"45,991",88.8
1129,AL,"Washington County, AL",4.7,"48,864",94.4
1131,AL,"Wilcox County, AL",7.2,"30,998",59.9
1133,AL,"Winston County, AL",3.3,"40,827",78.9
2000,AK,Alaska,5.4,"77,203",100
2013,AK,"Aleutians East Borough, AK",2.3,"66,923",86.7
2016,AK,"Aleutians West Census Area, AK",3.1,"84,726",109.7
2020,AK,"Anchorage Borough/municipality, AK",4.4,"82,512",106.9
2050,AK,"Bethel Census Area, AK",11.5,"48,262",62.5
2060,AK,"Bristol Bay Borough, AK",5.3,"87,950",113.9
2068,AK,"Denali Borough, AK",7.4,"78,434",101.6
2070,AK,"Dillingham Census Area, AK",7,"57,436",74.4
2090,AK,"Fairbanks North Star Borough, AK",4.7,"74,076",95.9
2100,AK,"Haines Borough, AK",7.9,"62,548",81
2105,AK,"Hoonah-Angoon Census Area, AK",10,"53,141",68.8
2110,AK,"Juneau Borough/city, AK",3.9,"85,419",110.6
2122,AK,"Kenai Peninsula Borough, AK",6,"68,625",88.9
2130,AK,"Ketchikan Gateway Borough, AK",5.5,"75,706",98.1
2150,AK,"Kodiak Island Borough, AK",4.9,"79,669",103.2
2158,AK,"Kusilvak Census Area, AK",17.6,"35,369",45.8
2164,AK,"Lake and Peninsula Borough, AK",8.9,"51,693",67
2170,AK,"Matanuska-Susitna Borough, AK",6.1,"75,856",98.3
2180,AK,"Nome Census Area, AK",9.8,"58,464",75.7
2185,AK,"North Slope Borough, AK",5.6,"84,784",109.8
2188,AK,"Northwest Arctic Borough, AK",12.6,"61,660",79.9
2195,AK,"Petersburg Borough, AK",7.8,"71,296",92.3
